T..Majority.protein.IDs	DomA_c_1_mean	DomA_c_2_mean	DomA_c_3_mean	DomB_c_1_mean	DomB_c_2_mean	DomB_c_3_mean	CTRL_c_1_mean	CTRL_c_2_mean	CTRL_c_3_mean
Q9VRG7	28.07396667	28.1428	28.44883333	28.23713333	28.48003333	28.2644	28.33233333	28.52696667	28.50203333
Q9VRG8	25.48856667	24.1402	24.46223333	24.24376667	24.74516667	25.60883333	24.73146667	24.96533333	24.6365
Q9VRH6	27.26583333	27.70053333	27.81823333	27.93316667	28.1347	27.8521	27.71923333	28.3308	28.45146667
Q9VRI0	30.85793333	31.03393333	30.9512	31.2689	30.8117	30.85956667	30.78876667	31.2373	31.25576667
Q9VRJ2	26.18746667	26.49836667	26.47796667	26.22073333	26.2882	26.1839	26.37623333	26.89833333	26.90473333
Q9VRJ4	28.3445	27.8953	29.3227	27.90116667	29.05523333	28.20153333	28.7683	29.073	29.88453333
Q9VRJ5	26.96576667	26.7179	26.53686667	25.91053333	25.68946667	26.86223333	27.5711	26.33716667	25.89786667
Q9VRL0	28.29716667	28.19773333	28.51956667	28.0391	28.28006667	28.39973333	28.9062	28.6084	28.28963333
Q9VRL1	27.68836667	26.9852	27.50856667	26.8743	26.4194	27.9115	27.5165	27.1879	26.4259
Q9VRL8	31.01166667	32.136	31.23373333	31.52056667	31.51206667	32.15423333	33.0548	31.94963333	32.76596667
Q9VRM6	24.92076667	25.4496	25.3801	25.25776667	25.1205	25.15446667	25.4304	25.95666667	25.9049
Q9VRN1	27.52136667	27.07583333	27.91713333	27.23396667	27.48723333	27.83783333	27.39223333	27.8086	27.62476667
Q9VRN3	25.9333	26.1767	26.25463333	25.2414	23.45396667	24.566	25.38426667	25.53443333	25.6037
Q9VRP2	26.7192	25.00846667	26.42836667	25.16686667	25.75676667	26.74956667	27.19566667	26.50506667	25.68893333
Q9VRP3	26.87653333	26.7596	26.79143333	26.56366667	26.15343333	27.3533	27.1273	26.97016667	26.3459
Q9VRP4	23.50516667	24.3697	24.14723333	23.10416667	23.6373	23.52596667	23.57616667	23.93496667	24.36043333
Q9VRP5	32.50816667	32.67393333	32.1301	32.693	32.23206667	32.03943333	32.52013333	32.64846667	32.50893333
Q9VRP9	29.0664	29.60813333	27.6233	29.18676667	27.64486667	28.91753333	29.07706667	29.02463333	29.0996
Q9VRQ2	26.1468	25.6039	24.65493333	25.33463333	25.25536667	25.5564	25.85953333	25.68583333	24.9719
Q9VRQ7	23.393	23.58943333	23.27493333	23.60773333	24.02266667	23.42713333	24.49683333	23.57796667	24.42966667
Q9VRU2	27.21253333	27.02543333	27.29743333	26.76973333	27.05433333	27.24513333	27.56853333	27.63796667	27.32393333
Q9VRV4	28.09263333	28.22723333	27.67046667	27.85486667	27.44756667	27.84473333	28.04313333	27.84336667	27.995
Q9VRV5	30.01316667	30.503	29.64383333	30.316	29.50983333	29.98603333	29.99363333	29.8788	29.9638
Q9VRV7	25.60713333	25.3184	25.98496667	25.60896667	25.98713333	25.86263333	26.14	25.982	25.75646667
Q9VRV8	24.61383333	24.2797	24.54713333	24.5757	24.24823333	24.61663333	23.98826667	24.0625	24.02826667
Q9VRX7	29.4905	29.30653333	29.5032	29.5335	29.3476	29.45216667	29.47253333	29.92076667	30.01403333
Q9VRY5	25.33936667	25.55283333	25.50683333	25.13006667	25.78253333	26.23046667	25.6253	26.2069	25.6278
Q9VRY6	30.37156667	30.42943333	30.16163333	29.8635	29.33	31.0766	31.56423333	29.46396667	28.7682
Q9VS01	25.3663	26.57856667	25.08206667	26.5174	25.2399	24.40873333	25.5014	24.46633333	24.50596667
Q9VS02	28.7972	27.59553333	29.87853333	27.2161	30.05426667	28.16756667	28.37253333	27.90923333	27.30396667
Q9VS34	33.48003333	33.10613333	33.56213333	33.06163333	33.23313333	33.58096667	33.5599	34.0282	34.55346667
Q9VS37	27.89583333	28.11223333	27.29353333	28.34396667	26.84076667	27.11153333	27.51176667	27.75876667	27.8518
Q9VS46	27.48466667	27.09153333	27.447	27.05526667	27.58126667	26.93963333	26.96696667	27.49373333	27.60953333
Q9VS47	24.10323333	24.2058	24.9658	24.02563333	23.76296667	23.83286667	25.6334	25.61583333	24.76233333
Q9VS50	27.51803333	27.8244	27.2819	27.746	27.3087	27.4943	27.5916	27.4903	27.62323333
Q9VS55	28.2807	28.15166667	27.94483333	28.2344	27.6963	28.0553	28.1562	28.2851	28.3305
Q9VS57	30.64843333	30.49723333	30.66116667	30.37333333	30.9377	30.36313333	30.34436667	30.60556667	30.53046667
Q9VS62	24.45276667	23.7601	24.0275	23.87543333	24.48486667	24.35163333	24.61126667	25.69146667	25.0459
Q9VSC3	24.35203333	23.59736667	23.81796667	23.44233333	23.43536667	24.68973333	23.962	24.03273333	24.2185
Q9VSC9	24.42906667	23.97606667	23.63546667	23.64383333	23.4353	25.04956667	24.2032	24.04046667	24.36393333
Q9VSD6	26.91683333	26.5153	27.1351	26.23773333	26.26686667	27.2896	26.93373333	26.90316667	26.79006667
